images\\00000.png,x_000_0,y_000_0
images\\00001.png,x_000_0,y_00_11
images\\00002.png,x_000_0,y_00_22
images\\00003.png,x_000_0,y_00_33
images\\00004.png,x_000_0,y_00_44
images\\00005.png,x_000_0,y_00_55
images\\00006.png,x_000_0,y_00_66
images\\00007.png,x_000_0,y_00_77
images\\00008.png,x_000_0,y_00_88
images\\00009.png,x_000_0,y_00_99
images\\00010.png,x_000_0,y_0_110
images\\00011.png,x_000_0,y_0_121
images\\00012.png,x_000_0,y_0_132
images\\00013.png,x_000_0,y_0_143
images\\00014.png,x_000_0,y_0_154
images\\00015.png,x_000_0,y_0_165
images\\00016.png,x_000_0,y_0_176
images\\00017.png,x_000_0,y_0_187
images\\00018.png,x_000_0,y_0_198
images\\00019.png,x_00_11,y_000_0
images\\00020.png,x_00_11,y_00_11
images\\00021.png,x_00_11,y_00_22
images\\00022.png,x_00_11,y_00_33
images\\00023.png,x_00_11,y_00_44
images\\00024.png,x_00_11,y_00_55
images\\00025.png,x_00_11,y_00_66
images\\00026.png,x_00_11,y_00_77
images\\00027.png,x_00_11,y_00_88
images\\00028.png,x_00_11,y_00_99
images\\00029.png,x_00_11,y_0_110
images\\00030.png,x_00_11,y_0_121
images\\00031.png,x_00_11,y_0_132
images\\00032.png,x_00_11,y_0_143
images\\00033.png,x_00_11,y_0_154
images\\00034.png,x_00_11,y_0_165
images\\00035.png,x_00_11,y_0_176
images\\00036.png,x_00_11,y_0_187
images\\00037.png,x_00_11,y_0_198
images\\00038.png,x_00_22,y_000_0
images\\00039.png,x_00_22,y_00_11
images\\00040.png,x_00_22,y_00_22
images\\00041.png,x_00_22,y_00_33
images\\00042.png,x_00_22,y_00_44
images\\00043.png,x_00_22,y_00_55
images\\00044.png,x_00_22,y_00_66
images\\00045.png,x_00_22,y_00_77
images\\00046.png,x_00_22,y_00_88
images\\00047.png,x_00_22,y_00_99
images\\00048.png,x_00_22,y_0_110
images\\00049.png,x_00_22,y_0_121
images\\00050.png,x_00_22,y_0_132
images\\00051.png,x_00_22,y_0_143
images\\00052.png,x_00_22,y_0_154
images\\00053.png,x_00_22,y_0_165
images\\00054.png,x_00_22,y_0_176
images\\00055.png,x_00_22,y_0_187
images\\00056.png,x_00_22,y_0_198
images\\00057.png,x_00_33,y_000_0
images\\00058.png,x_00_33,y_00_11
images\\00059.png,x_00_33,y_00_22
images\\00060.png,x_00_33,y_00_33
images\\00061.png,x_00_33,y_00_44
images\\00062.png,x_00_33,y_00_55
images\\00063.png,x_00_33,y_00_66
images\\00064.png,x_00_33,y_00_77
images\\00065.png,x_00_33,y_00_88
images\\00066.png,x_00_33,y_00_99
images\\00067.png,x_00_33,y_0_110
images\\00068.png,x_00_33,y_0_121
images\\00069.png,x_00_33,y_0_132
images\\00070.png,x_00_33,y_0_143
images\\00071.png,x_00_33,y_0_154
images\\00072.png,x_00_33,y_0_165
images\\00073.png,x_00_33,y_0_176
images\\00074.png,x_00_33,y_0_187
images\\00075.png,x_00_33,y_0_198
